훈련기관명,주소/회사번호,훈련과정명,훈련기간
(1st)인비원 평생교육원,"경기 고양시 일산동구 
												
													( 070-4242-2990 )",사물인터넷과 산업의 변화,"2025-05-05 ~
													
													2025-06-04 (41회차)"
사단법인 한국에듀테크산업협회,"서울 강남구 
												
													( 02-1522-1429 )",[상위1% 파이썬 웹 ] Django를 이용한 웹 애플리케이션 작성,"2025-05-05 ~
													
													2025-05-28 (44회차)"
(1st)인비원 평생교육원,"경기 고양시 일산동구 
												
													( 070-4242-2990 )",HTML5 & Javascript,"2025-05-05 ~
													
													2025-06-04 (41회차)"
(1st)인비원 평생교육원,"경기 고양시 일산동구 
												
													( 070-4242-2990 )",디지털자산 NFT,"2025-05-05 ~
													
													2025-06-04 (41회차)"
(1st)인비원 평생교육원,"경기 고양시 일산동구 
												
													( 070-4242-2990 )",AItopia - 인공지능이 만들어갈 세상,"2025-05-05 ~
													
													2025-06-04 (41회차)"
(1st)인비원 평생교육원,"경기 고양시 일산동구 
												
													( 070-4242-2990 )",메타버스 레시피,"2025-05-05 ~
													
													2025-06-04 (41회차)"
(1st)인비원 평생교육원,"경기 고양시 일산동구 
												
													( 070-4242-2990 )",비전공자도 쉽게 하는 Python 입문,"2025-05-05 ~
													
													2025-06-04 (41회차)"
(1st)인비원 평생교육원,"경기 고양시 일산동구 
												
													( 070-4242-2990 )","세상에서 가장 쉬운 IT 부트캠프, 파이썬 BASIC","2025-05-05 ~
													
													2025-06-04 (41회차)"
방송정보국제교육원,"서울 영등포구 
												
													( 02-2658-1131 )","(스마트웹&콘텐츠개발)UI/UX웹퍼블리싱,프론트엔드1","2025-05-05 ~
													
													2025-10-28 (12회차)"
연희직업전문학교(주),"인천 서구 
												
													( 032-562-4886 )",(스마트웹&콘텐츠개발)UI/UX 웹디자인 웹퍼블리셔 프론트엔드 웹개발자 양성 A,"2025-05-05 ~
													
													2025-10-27 (3회차)"
,,,
이젠아카데미컴퓨터학원,"경기 구리시 
												
													( 031-555-4449 )","자바 스프링(Java, Spring) 백엔드 웹개발자B","2025-05-06 ~
													
													2025-08-20 (1회차)"
이젠아카데미컴퓨터학원,"경기 구리시 
												
													( 031-555-4449 )",스마트 UI/UX 웹콘텐츠 & 프론트엔드(React.js),"2025-05-06 ~
													
													2025-10-21 (3회차)"
연희직업전문학교(주),"인천 서구 
												
													( 032-562-4886 )",(스마트웹&콘텐츠개발) UIUX 웹퍼블리셔(피그마[Figma]) & 프론트엔드(react.js) B,"2025-05-06 ~
													
													2025-10-17 (3회차)"
러닝팩토리 원격평생교육원,"서울 서초구 
												
													( 02-525-0602 )","디지털 혁명을 일으켜라, 사물인터넷이 바꾸는 세상과 미래","2025-05-07 ~
													
													2025-06-06 (65회차)"
노원그린컴퓨터아카데미,"서울 노원구 
												
													( 02-6953-2002 )",처음 시작하는 자바(JAVA) 프로그래밍 입문과정,"2025-05-07 ~
													
													2025-07-02 (1회차)"
(주)우리인재개발원,"경기 부천시 
												
													( 032-665-5522 )",웹기초(HTML5+CSS3),"2025-05-07 ~
													
													2025-05-22 (1회차)"
(주)우리인재개발원,"경기 부천시 
												
													( 032-665-5522 )",초보자(비전공자)를 위한 첫 코딩(자바) 입문,"2025-05-07 ~
													
													2025-05-22 (2회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )",쉽게배우는 자바(Java) 프로그래밍 입문,"2025-05-07 ~
													
													2025-05-28 (4회차)"
역삼 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1006 )",자바(JAVA) 프로그래밍 언어 - 코딩의 시작,"2025-05-07 ~
													
													2025-06-11 (1회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )",R 프로그래밍 활용 빅데이터 분석,"2025-05-07 ~
													
													2025-06-11 (7회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )",자바(JAVA) 프로그래밍 기초문법&라이브러리활용,"2025-05-07 ~
													
													2025-06-11 (4회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )",프론트엔드 개발자(Vue.js),"2025-05-07 ~
													
													2025-06-10 (1회차)"
러닝팩토리 원격평생교육원,"서울 서초구 
												
													( 02-525-0602 )","비전공자를 위한 IT 부트캠프, IT의 정석","2025-05-07 ~
													
													2025-06-06 (65회차)"
케이스원격평생교육원,"서울 구로구 
												
													( 1660-3011 )",인공지능 기술과 산업별 실무적용 기법,"2025-05-07 ~
													
													2025-06-05 (22회차)"
케이스원격평생교육원,"서울 구로구 
												
													( 1660-3011 )",4차 산업시대의 성공적인 비즈니스를 위한 사물인터넷,"2025-05-07 ~
													
													2025-06-05 (22회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",실무에 바로 쓰는 Next.js,"2025-05-07 ~
													
													2025-06-10 (17회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",창업이 처음이어도 쉽게 배우는 노코드 웹개발 창업,"2025-05-07 ~
													
													2025-06-10 (18회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )","시니어로 가는 지름길, 프론트엔드 실무 스킬(TDD, CI/CD, 성능 최적화)","2025-05-07 ~
													
													2025-06-10 (17회차)"
강남 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1005 )",Open API를 활용한 인터렉티브 웹 어플리케이션 개발 with Vanilla Javascript,"2025-05-07 ~
													
													2025-06-05 (26회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[스킬업] AI가 처음이어도 쉽게 배우는 생성형 AI A to Z,"2025-05-07 ~
													
													2025-06-10 (46회차)"
강남 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1005 )","챗GPT-랭체인으로 AI 웹서비스 만들기(ChatGPT4, Langchain, Llama Index, Python, Gradio)","2025-05-07 ~
													
													2025-06-05 (53회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] ChatGPT 300% 활용하기,"2025-05-07 ~
													
													2025-06-17 (65회차)"
러닝팩토리 원격평생교육원,"서울 서초구 
												
													( 02-525-0602 )",4차 산업시대의 성공적인 비즈니스를 위한 사물인터넷,"2025-05-07 ~
													
													2025-06-06 (65회차)"
하이컴퓨터그래픽전산회계학원,"경기 안산시 단원구 
												
													( 031-405-1255 )",프로그래밍(코딩) 초보를 위한 파이썬(Phython) 기초 with 챗GPT,"2025-05-07 ~
													
													2025-05-25 (5회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )",《ChatGPT》를 활용한 자바 윈도우프로그램 만들기,"2025-05-07 ~
													
													2025-06-11 (3회차)"
역삼 그린컴퓨터아카데미,"서울 강남구 
												
													( 02-3481-1006 )",파이썬을 알아야 일의 능률이 올라갑니다._39H,"2025-05-07 ~
													
													2025-06-18 (3회차)"
