훈련기관명,주소/회사번호,훈련과정명,훈련기간
(주)유비온,"서울 구로구 
												
													( 02-1600-8778 )",[초급코딩] 초보도 만들 수 있는 생활 속 로봇,"2025-05-03 ~
													
													2025-06-02 (62회차)"
더조은컴퓨터아카데미 종로,"서울 종로구 
												
													( 02-766-8368 )","프로젝트 기반 풀스택(프론트/백엔드) 개발자 취업캠프(리액트,자바,스프링부트)","2025-04-21 ~
													
													2025-12-01 (6회차)"
주식회사멋쟁이사자처럼,"서울 종로구 
												
													( 02-6203-7222 )",기업 참여형 실무 중심 웹 프론트엔드 엔지니어 부트캠프,"2025-04-21 ~
													
													2025-10-30 (2회차)"
더조은컴퓨터아카데미,"서울 강남구 
												
													( 02-594-5613 )","프론트엔드(React, React Native) 웹개발&앱개발자 취업캠프","2025-04-21 ~
													
													2025-11-04 (5회차)"
더조은컴퓨터아카데미 종로,"서울 종로구 
												
													( 02-766-8368 )",빅데이터분석(ElasticStack)활용&자바웹개발자,"2025-04-21 ~
													
													2025-11-07 (3회차)"
(주)포스코 미래창조아카데미,"서울 마포구 
												
													( 054-240-5814 )",스마트팩토리 개발자 고급 과정,"2025-04-21 ~
													
													2025-07-30 (5회차)"
대한상공회의소,"경남 진주시 
												
													( 02-6050-3938 )",[GSITM] 부트캠프,"2025-04-21 ~
													
													2025-10-20 (10회차)"
멀티캠퍼스,"서울 강남구 
												
													( 02-1544-9001 )",[현대이지웰] Java 풀스택 개발자 아카데미,"2025-04-21 ~
													
													2025-10-17 (5회차)"
인천 그린컴퓨터아카데미,"인천 부평구 
												
													( 032-330-2111 )",(기업연계) 클라우드 기반 자바 풀스택 개발 프로젝트 과정,"2025-04-21 ~
													
													2025-09-30 (9회차)"
한국표준협회,"경기 성남시 분당구 
												
													( 02-6240-4884 )",[엔비디아] NVIDIA AI Academy,"2025-04-21 ~
													
													2025-10-22 (6회차)"
더조은컴퓨터아카데미 종로,"서울 종로구 
												
													( 02-766-8368 )",리액트(React.js)와 뷰(vue.js)를 활용한 UI/UX 웹&앱 디자인 실무,"2025-04-21 ~
													
													2025-05-13 (3회차)"
더조은컴퓨터아카데미 종로,"서울 종로구 
												
													( 02-766-8368 )","[3개월 완성]파이썬(Python)을 활용한 빅데이터분석 전문가(데이터수집,저장,분석,시각화) 양성과정","2025-04-21 ~
													
													2025-06-05 (3회차)"
더조은컴퓨터아카데미 종로,"서울 종로구 
												
													( 02-766-8368 )",구글 플러터(Flutter) 활용한 자바(JAVA) 기반 안드로이드&iOS 앱(어플)개발자 양성과정,"2025-04-21 ~
													
													2025-06-02 (1회차)"
더조은컴퓨터아카데미 종로,"서울 종로구 
												
													( 02-766-8368 )",인공지능(AI)활용 서비스 개발자(프론트엔드_React) 취업과정,"2025-04-21 ~
													
													2025-10-30 (4회차)"
연세IT미래교육원(구.연세직업전문학교),"경기 수원시 장안구 
												
													( 031-256-2662 )","기업 실무프로젝트 반영 풀스택 개발자 양성(자바,스프링,리액트,뷰,클라우드)","2025-04-21 ~
													
													2025-11-10 (7회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )","시니어로 가는 지름길, 프론트엔드 실무 스킬(TDD, CI/CD, 성능 최적화)","2025-04-29 ~
													
													2025-06-02 (16회차)"
투썬캠퍼스 분당센터,"경기 성남시 분당구 
												
													( 031-711-5517 )",실습으로 마스터하는 파이썬 인공지능 첫걸음,"2025-04-25 ~
													
													2025-05-24 (39회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[스킬업] AI가 처음이어도 쉽게 배우는 생성형 AI A to Z,"2025-04-25 ~
													
													2025-05-29 (44회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] 칼퇴를 부르는 파이썬 업무 자동화,"2025-04-25 ~
													
													2025-05-29 (49회차)"
코드잇 평생교육원,"서울 강남구 
												
													( -- )",[스프린트 라이트] JavaScript 프로그래밍 중급,"2025-04-22 ~
													
													2025-05-20 (43회차)"
중앙정보기술인재개발원,"서울 마포구 
												
													( 02-704-1711 )",클라우드 데브옵스 프론트엔드&백엔드 자바(JAVA) 풀스택 개발자 취업캠프,"2025-04-22 ~
													
													2025-10-17 (8회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] 노코드로 완성도 있는 웹사이트 만들기,"2025-04-29 ~
													
													2025-06-02 (55회차)"
(주)글로벌아카데미(구.글로벌직업전문학교),"경기 화성시 
												
													( 031-234-4488 )","차세대 AI 예측 Solution 개발(Java, Python)","2025-04-22 ~
													
													2025-10-21 (8회차)"
KH정보교육원 부산지원,"부산 부산진구 
												
													( 051-632-2157 )",빅데이터 기반(파이썬·자바·웹) 엘라스틱 검색엔진 개발자,"2025-04-22 ~
													
													2025-10-20 (3회차)"
이젠아카데미컴퓨터학원,"경기 구리시 
												
													( 031-555-4449 )",자바(Java) 풀스택 개발 부트캠프,"2025-04-22 ~
													
													2025-10-29 (1회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",실무에 바로 쓰는 기초가 탄탄한 딥러닝,"2025-04-29 ~
													
													2025-06-09 (16회차)"
투썬캠퍼스 분당센터,"경기 성남시 분당구 
												
													( 031-711-5517 )",가만히 두어도 성과가 나오는 방치형 디지털 마케팅 첫걸음(feat. 챗GPT),"2025-04-25 ~
													
													2025-05-24 (40회차)"
고려아카데미(원격),"서울 금천구 
												
													( 02-2106-8800 )",파이썬 처음이어도 괜찮아! 올인원 풀패키지,"2025-04-22 ~
													
													2025-05-21 (34회차)"
고려아카데미(원격),"서울 금천구 
												
													( 02-2106-8800 )",Flutter와 챗GPT로 나만의 앱과 웹개발 시작하기,"2025-05-08 ~
													
													2025-06-07 (46회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )","[개발자 입문] 웹개발의 봄, Spring","2025-04-29 ~
													
													2025-05-26 (65회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] 코딩이 처음이어도 쉽게 배우는 웹개발 A to Z,"2025-04-29 ~
													
													2025-06-02 (66회차)"
코드잇 평생교육원,"서울 강남구 
												
													( -- )","1% 일잘러로 성장하는 필수 생산성 도구 (챗GPT, 노션 등)","2025-04-29 ~
													
													2025-05-27 (16회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",웹개발이 처음이어도 쉽게 배우는 GPT 웹개발,"2025-04-29 ~
													
													2025-06-02 (17회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",실무에 바로 쓰는 React,"2025-04-29 ~
													
													2025-06-02 (16회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[스킬업] 클라우드가 처음이어도 쉽게 배우는 AWS A to Z,"2025-04-25 ~
													
													2025-05-29 (44회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] Kotlin으로 만드는 공공데이터 활용 안드로이드 앱,"2025-04-25 ~
													
													2025-05-29 (49회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] Unity로 메타버스 3D 게임 만들기,"2025-04-25 ~
													
													2025-05-29 (49회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",[왕초보] 노코드로 수익형 AI 앱 만들기,"2025-04-25 ~
													
													2025-05-29 (49회차)"
고려아카데미(원격),"서울 금천구 
												
													( 02-2106-8800 )",인공지능 첫걸음! 데이터 증강을 활용한 나만의 대화형 AI 언어모델 만들기,"2025-04-22 ~
													
													2025-05-21 (34회차)"
고려아카데미(원격),"서울 금천구 
												
													( 02-2106-8800 )",코딩이 처음이어도 괜찮아! 웹개발과 IT 기초 지식,"2025-05-08 ~
													
													2025-06-07 (13회차)"
팀스파르타주식회사,"서울 강남구 
												
													( 02-1522-8016 )",실무에 바로 쓰는 바닥부터 시작하는 머신러닝,"2025-04-29 ~
													
													2025-06-02 (16회차)"
