회사명,채용 제목,급여,경력,학력,근무형태,근무지역,마감일,등록일,D-day,회사로고,직무
유니닥스㈜,유니닥스㈜ AI개발자 장애인채용 전형,회사내규에 따름,경력무관,대졸(2~3년),주5일,서울 구로구,2025-04-25,2025-04-11,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,AI개발자
㈜차카다,"네이버,구글 SEO 연구원 채용 (RPA 개발)",월급 400 만원 ~ 500 만원,경력3년,대졸(2~3년),주5일,서울 송파구  등,2025-04-30,2025-04-11,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,RPA 개발
㈜차카다,"네이버, RPA 개발 신입/경력자 채용",월급 300 만원 ~ 500 만원,신입/경력,대졸(2~3년),주5일,서울 송파구  등,2025-04-30,2025-04-11,D-19,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,RPA 개발
주식회사 모빌리티랩 (MOBILITY LAB Inc.),C++개발자 모집,"연봉 5,000 만원 ~ 12,000 만원",경력3년,,주5일,경기도 안산시 상록구,2025-06-10,2025-04-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,C++개발자
주식회사 알엑스오,[RXO주식회사] 프로젝트 개발자 모집,월급 210 만원 ~ 245 만원,경력무관,학력무관,주5일,광주광역시 남구 도시첨단산업6로,2025-06-10,2025-04-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,개발자
㈜신지모루,[경력] 전산개발 담당자 채용,"연봉 3,600 만원 ~ 3,600 만원",경력3년,대졸(2~3년),주5일,서울 마포구,2025-05-11,2025-04-11,D-30,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,시스템 운영
"주식회사 지에이티엘 (GATL Co.,ltd.)",PLC 능력자 및 배우실분 모집합니다,"연봉 4,000 만원 ~ 6,000 만원",경력10년,학력무관,주6일,경기도 김포시 황금로89번길,2025-06-10,2025-04-11,채용시까지,https://www.work24.go.kr/wk/static/images/logo/work24.png,HW/제어개발자
㈜신안정보통신,"응용프로그래머(C, C++,C#) 경력 모집",회사내규에 따름,경력3년,대졸(2~3년),주5일,서울 서초구,2025-04-27,2025-04-11,D-16,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,소프트웨어 개발
인에이블다온소프트,[인에이블다온소프트] 백엔드 개발자 모집(경력),회사내규에 따름,경력5년,학력무관,주5일,서울 용산구,2025-06-10,2025-04-11,D-60,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,웹/앱 개발자
엔아이티서비스㈜,[NAVER Cloud 자회사] NIT Service 2025 상반...,회사내규에 따름,신입/경력,학력무관,,경기 성남시 분당구 등,2025-04-25,2025-04-11,D-14,https://www.work24.go.kr/wk/static/images/logo/jobkorea.png,기타
